cycle,entity_type,entity_id,entity_name,entity_subtype,party_label,party_score_dem,party_score_rep,lean_dem_amt,lean_rep_amt,mixed_amt,unknown_amt,lean_measure_total,coverage_total,coverage_ratio,classification_method,classification_source,scope
2024,committee,C00860155,MONTANA OUTDOOR VALUES ACTION FUND,O,D,1.0,0.0,5041593,0,0.0,0.0,5041593,5041593,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00882555,FC PAC,O,Mixed,0.58703511741106,0.41296488258894004,2821353,1984753,0.0,0.0,4806106,4806106,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00747998,CARE IN ACTION PAC,O,D,1.0,0.0,4733119,2119,0.0,0.0,4735238,4735238,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00550970,EQUALITY PAC,Q,D,1.0,0.0,4566639,11811,0.0,0.0,4578450,4578450,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00710848,DMFI PAC,W,D,1.0,0.0,4197866,362369,0.0,0.0,4560235,4560235,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00890335,STRATEGIC MAJORITY PAC,O,R,0.0,1.0,0,4556977,0.0,0.0,4556977,4556977,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00888172,MAHA ALLIANCE,O,R,0.0,1.0,19250,4501692,0.0,0.0,4520942,4520942,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00847145,STATE ACTION FUND PAC INC.,O,R,0.0,1.0,0,4475611,0.0,0.0,4475611,4475611,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00835041,FORWARD BLUE,O,D,1.0,0.0,4444801,0,0.0,0.0,4444801,4444801,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00831404,"WITH HONOR FUND II, INC.",O,Mixed,0.5799701547137623,0.42002984528623766,2561988,1855460,0.0,0.0,4417448,4417448,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00625533,NEW AMERICAN JOBS FUND,O,D,1.0,0.0,4399774,0,0.0,0.0,4399774,4399774,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00489799,PLANNED PARENTHOOD VOTES,O,D,1.0,0.0,4332706,19064,0.0,0.0,4351770,4351770,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00740225,NRDC ACTION VOTES,O,D,1.0,0.0,4294836,0,0.0,0.0,4294836,4294836,1.0,candidate_facing_committee_activity,ie_spending,all_committees
